"http://www.google.com/url?q=http://unpan1.un.org/intradoc/groups/public/documents/UNTC/UNPAN018110.pdf&amp;usd=2&amp;usg=ALhdy2_96uAYfhClMT3v5HmglPLNa2msVA"<>National ICT4D Strategy (2003-2012)
"http://www.google.com/url?q=http://ict.edu.gov.az/&amp;usd=2&amp;usg=ALhdy2-ywPTrppyPBcVWsCbEdz89womXSA"<>ICT department (Azeri)
"http://www.google.com/url?q=http://www.bahamaseducation.com/&amp;usd=2&amp;usg=ALhdy28ynQgUVtyK72aMxLO30Y6XwRv9Jg"<>Ministry of Education 
"http://www.google.com/url?q=http://www.bahamaseducation.com/PDF/Docs/Draft%252010%2520Year%2520Education%2520Plan.pdf&amp;usd=2&amp;usg=ALhdy29aaqJjYvR_k9bsk0nBnPy0xuMZpg"<>10 year education plan (2009)
"http://www.google.com/url?q=http://unpan1.un.org/intradoc/groups/public/documents/caricad/unpan008387.pdf&amp;usd=2&amp;usg=ALhdy2-yTAHj45JDA2cY7blhoHbUoa2eFg"<>Policy Statement on Electronic Commerce  and the Bahamian Digital Agenda (2003)
"http://www.google.com/url?q=http://www.education.gov.bh/&amp;usd=2&amp;usg=ALhdy28Jo030lne4MhGD5aw-MHzAzx0bfw"<>Ministry of Education (Arabic / English)
"http://www.google.com/url?q=http://www.edunet.bh/EduWave/ELearningMe.aspx&amp;usd=2&amp;usg=ALhdy2_6bpLtBzdSQ_7AhIRccuwRRkHEUw"<>Edunet (Arabic)
"http://www.google.com/url?q=http://www.moe.gov.bh/en/eFuture.aspx&amp;usd=2&amp;usg=ALhdy2_JyTnRBqKd9AATtfZc-gOxvQLWUQ"<>Moe IT Future
"http://www.google.com/url?q=http://www.ibe.unesco.org/International/ICE47/english/Natreps/reports/bahrain_en_part_1.pdf&amp;usd=2&amp;usg=ALhdy2-nAyUfDohLOF5RGqiUREEQjfFbiw"<>Though no policy document has been found, a report of 2004 mentions some of the initiatives. 
"http://www.google.com/url?q=http://www.moedu.gov.bd/&amp;usd=2&amp;usg=ALhdy2-S2uy-vVKQ-KbHqZl7aAKCJoaG5A"<>Ministry of Education 
