ASIA,,Afghanistan – Islamic Republic of Afghanistan,Ministry of Education (Dari / Pashto / English),,National Education Strategic Plan (2006-2010),Contents: technical education<COMMA> curricula<COMMA> infrastructure<COMMA> teacher training<COMMA> mobile computer labs<COMMA> distance education
,,last updated: Mar 10,,,,Has agreed to do an OLPC pilot (Sept 08).
,,,,,Strategic Plan 2010-2015 (not yet online)
